Package	Version	Use
truststore	0.8.0	Webapp
typing-extensions	4.12.2	Webapp
typing_extensions	4.12.2	Webapp
tzdata	2024b	Webapp
ucrt	10.0.22621.0	Webapp
unicodedata2	16.0.0	Webapp
urllib3	2.2.3	Webapp
vc	14.40	Webapp
vc14_runtime	14.44.35208	Webapp
vs2015_runtime	14.44.35208	Webapp
wheel	0.44.0	Webapp
win_inet_pton	1.1.0	Webapp
xorg-libxau	1.0.11	Webapp
xorg-libxdmcp	1.1.3	Webapp
xz	5.4.6	Webapp
yaml-cpp	0.8.0	Webapp
zlib	1.2.13	Webapp
zstandard	0.23.0	Webapp
zstd	1.5.6	Webapp
altair	5.5.0	Webapp
asyncpg	0.30.0	Webapp
attrs	25.3.0	Webapp
biopython	1.84	Webapp
blinker	1.9.0	Webapp
branca	0.8.1	Webapp
cachelib	0.9.0	Webapp
cachetools	5.5.2	Webapp
cairocffi	1.7.1	Webapp
cairosvg	2.8.2	Webapp
connectorx	0.4.1	Webapp
contourpy	1.3.1	Webapp
cramjam	2.10.0	Webapp
cssselect2	0.8.0	Webapp
dash	2.18.2	Webapp
dash-ag-grid	31.3.0	Webapp
dash-bootstrap-components	1.6.0	Webapp
dash-core-components	2.0.0	Webapp
dash-html-components	2.0.0	Webapp
dash-leaflet	1.0.15	Webapp
dash-table	5.0.0	Webapp
defusedxml	0.7.1	Webapp
ete3	3.1.3	Webapp
fastparquet	2024.11.0	Webapp
flask	3.0.3	Webapp
flask-caching	2.3.0	Webapp
folium	0.20.0	Webapp
fonttools	4.56.0	Webapp
fsspec	2025.5.0	Webapp
geopandas	1.0.1	Webapp
gitdb	4.0.12	Webapp
gitpython	3.1.44	Webapp
importlib-metadata	8.5.0	Webapp
itsdangerous	2.2.0	Webapp
jinja2	3.1.4	Webapp
jsonschema	4.23.0	Webapp
jsonschema-specifications	2024.10.1	Webapp
kaleido	1.1.0	Webapp
markupsafe	3.0.2	Webapp
mysql	0.0.3	Webapp
mysql-connector-python	9.2.0	Webapp
mysqlclient	2.2.7	Webapp
narwhals	1.33.0	Webapp
pillow	11.1.0	Webapp
plotly	6.3.0	Webapp
polars	1.21.0	Webapp
protobuf	5.29.4	Webapp
pyarrow	19.0.0	Webapp
pydeck	0.9.1	Webapp
pyogrio	0.10.0	Webapp
pyparsing	3.2.1	Webapp
pyproj	3.7.0	Webapp
pytest-timeout	2.4.0	Webapp
python-decouple	3.8	Webapp
python-ternary	1.0.8	Webapp
redis	5.2.1	Webapp
referencing	0.36.2	Webapp
retrying	1.3.4	Webapp
rpds-py	0.24.0	Webapp
seaborn	0.13.2	Webapp
shapely	2.0.6	Webapp
smmap	5.0.2	Webapp
streamlit	1.44.1	Webapp
streamlit-aggrid	1.1.2	Webapp
streamlit-folium	0.25.1	Webapp
streamlit-option-menu	0.4.0	Webapp
streamlit-plotly-events	0.0.6	Webapp
tenacity	9.0.0	Webapp
ternary	0.1	Webapp
tinycss2	1.4.0	Webapp
toml	0.10.2	Webapp
uv	0.8.17	Webapp
watchdog	6.0.0	Webapp
webencodings	0.5.1	Webapp
werkzeug	3.0.6	Webapp
xyzservices	2025.4.0	Webapp
zipp	3.21.0	Webapp
